,words,frequency,ngram
1239,통,6411,1
1240,템이,6406,2
1241,업을,6402,2
1242,드를,6396,2
1243,시면,6362,2
1244,사람,6340,2
1245,지인,6311,2
1246,억,6299,1
1247,평,6294,1
1248,필,6289,1
1249,이지,6260,2
1250,충전,6235,2
1251,라고,6211,2
1252,패,6166,1
1253,급하,6098,2
1254,운영,6092,2
1255,였,6069,1
1256,신청,6065,2
1257,경험,6055,2
1258,트로,6055,2
1259,새로운,6010,3
1260,익이,6000,2
1261,수익이,6000,3
1262,로그,5993,2
1263,기술,5975,2
1264,워드를,5972,3
1265,록하면,5972,3
1266,키워드를,5972,4
1267,등록하면,5972,4
1268,하시는,5971,3
1269,자가,5871,2
1270,이템,5857,2
1271,아이템,5857,3
1272,어려,5787,2
1273,패키,5785,2
1274,키지,5785,2
1275,패키지,5785,3
1276,올,5780,1
1277,가기,5771,2
1278,택,5762,1
1279,보니,5725,2
1280,톡,5687,1
1281,누,5636,1
1282,전하,5621,2
1283,대학,5613,2
1284,업이,5610,2
1285,데요,5595,2
1286,인의,5524,2
1287,지인의,5524,3
1288,홈페,5483,2
1289,페이,5483,2
1290,홈페이,5483,3
1291,페이지,5483,3
1292,홈페이지,5483,4
1293,알아,5446,2
